Manufacturer,Model,Vehicle Type,Item,Typical Specification / Note,OEM Part Number (Common/Rep)
Maruti Suzuki,Swift / Dzire,Car,Oil Filter,Spin-on,16510M65L10
Maruti Suzuki,Swift / Dzire,Car,Air Filter,Standard Paper Element,13780M74L00
Maruti Suzuki,Swift / Dzire,Car,Cabin (AC) Filter,Fiber Mesh,990J0M67L17-010
Maruti Suzuki,Swift / Dzire,Car,Fuel Filter,In-tank (P) / Inline (D),15411M69P00
Maruti Suzuki,Swift / Dzire,Car,Front Brake Pads,Disc Pad Set,55810M75J30
Maruti Suzuki,Swift / Dzire,Car,Spark Plug,Nickel / Iridium,09482M00609
Maruti Suzuki,Brezza,Car,Oil Filter,Spin-on,16510M65L10
Maruti Suzuki,Brezza,Car,Air Filter,Standard Paper Element,13780M82PA0
Maruti Suzuki,Brezza,Car,Front Brake Pads,Disc Pad Set,55810M82P00
Maruti Suzuki,Brezza,Car,Wiper Blades,Front Set (24" & 16"),38340M82P00
Maruti Suzuki,Wagon R,Car,Oil Filter,Spin-on,16510M65L10
Maruti Suzuki,Wagon R,Car,Spark Plug,Standard Nickel,09482M00609
Hyundai,Creta,SUV,Oil Filter,Cartridge / Spin-on,26300-35505
Hyundai,Creta,SUV,Air Filter,Standard Paper Element,28113-A0100
Hyundai,Creta,SUV,Cabin (AC) Filter,Fiber Mesh / Active Carbon,97133-A0000
Hyundai,Creta,SUV,Fuel Filter,Inline Diesel Cartridge,31922-A6900
Hyundai,Creta,SUV,Front Brake Pads,Disc Pad Set,58101-C3A00
Hyundai,Creta,SUV,V-Belt / Drive Belt,Ribbed Belt,25212-2B000
Hyundai,i20,Car,Oil Filter,Spin-on,26300-02503
Hyundai,i20,Car,Air Filter,Standard Paper Element,28113-Q6100
Hyundai,i20,Car,Spark Plug,Standard Nickel,18855-10060
Hyundai,Venue,SUV,Oil Filter,Spin-on,26300-02503
Hyundai,Venue,SUV,Fuel Filter,Inline Diesel,31922-A6000
